carat,price
0.23,472
0.23,472
0.24,492
0.24,710
0.3,393
0.3,684
0.3,447
0.3,873
0.3,473
0.3,658
0.3,675
0.31,1046
0.31,888
0.31,901
0.31,436
0.31,767
0.32,645
0.32,561
0.32,808
0.32,837
0.32,862
0.33,579
0.34,765
0.34,596
0.34,885
0.36,770
0.38,741
0.38,832
0.38,600
0.4,1263
0.41,621
0.41,1061
0.42,984
0.42,910
0.43,1264
0.43,1433
0.43,1199
0.46,934
0.48,918
0.51,1268
0.51,2220
0.51,1781
0.51,1756
0.51,1264
0.51,1619
0.52,1151
0.53,1237
0.55,1980
0.55,2664
0.55,1664
0.61,1149
0.7,2444
0.7,2273
0.7,2409
0.7,3062
0.7,2263
0.7,2184
0.71,2801
0.71,2649
0.71,2327
0.71,2590
0.71,2238
0.71,2327
0.72,2492
0.72,2550
0.74,2690
0.74,2987
0.76,3948
0.8,6834
0.9,4381
0.9,4304
0.9,3992
0.9,4201
1.01,15219
1.01,4276
1.01,3737
1.02,4936
1.02,3838
1.03,3675
1.07,5327
1.11,4606
1.16,8346
1.17,6558
1.2,7795
1.2,14192
1.23,9361
1.24,8797
1.26,5207
1.28,3355
1.51,9539
1.56,12098
1.56,7950
1.57,12098
1.65,14593
1.74,9208
2.02,17392
2.02,16929
2.05,12401
2.06,14298
2.2,11147
